Molecule ChEMBL ID,Standard_Value,Standard Units,Standard Type,canon_smiles,pIC50
CHEMBL2347389,15700.0,nM,IC50,O=C(O)CC1OC(c2cccc(Cl)c2)C(c2ccc(Cl)cc2)N(CC2CC2)C1=O,4.804100347590766
CHEMBL3683116,1381.1,nM,IC50,CCC(C)Oc1cc2c(cc1OCC(=O)N1CCN(C)CC1)CC(=O)N(c1ccc(OC)cc1)C2c1ccc(Cl)cc1,5.859774874733552
CHEMBL3653263,0.35,nM,IC50,COc1cn(C)c(=O)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cccc(Cl)c1F)C2=O,9.455931955649724
CHEMBL1688287,47000.0,nM,IC50,O=C1c2ccccc2C(OCC2(CO)CC2)(c2ccc(Cl)cc2)N1Cc1cccc(Br)c1,4.327902142064283
CHEMBL3929802,32.0,nM,IC50,CC(C)(C)CC1NC(C(=O)NC2CCC(O)CC2)C(c2cccc(Cl)c2)C12C(=O)Nc1cc(Cl)c(F)cc12,7.494850021680094
CHEMBL3649967,2.0,nM,IC50,CCOC(c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1CC1CCC(C)CC1)C1CC1,8.698970004336019
CHEMBL1688282,2300.0,nM,IC50,Cc1ccc(CN2C(=O)c3ccccc3C2(OCC2(CO)CC2)c2ccc(Cl)cc2)cc1,5.638272163982407
CHEMBL3665593,27.0,nM,IC50,CC(C)(C)CC1NC(C(=O)NC2CC(C)(O)C2)C(c2cccc(F)c2F)C12C(=O)Nc1cc(Cl)ccc12,7.568636235841013
CHEMBL3649817,156.0,nM,IC50,CC1CCC(Cn2c(N3CC(C)OCC3C)nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,6.806875401645538
CHEMBL3649814,32.0,nM,IC50,CC1CCC(Cn2c(N3CCC4C3C4C(F)(F)F)nc3cc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,7.494850021680094
CHEMBL3649993,11.0,nM,IC50,COCC(C)c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1CC1CCC(C)CC1,7.958607314841775
CHEMBL1689405,28.0,nM,IC50,CC(=O)NCCCCC(NC(=O)C(CC(C)C)NC(C)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C)C(=O)NC(CCC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CO)C(N)=O)C(C)O,7.552841968657781
CHEMBL3649990,2.0,nM,IC50,C=C(CCC)c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1CC1CCC(C)CC1,8.698970004336019
CHEMBL3916778,25.0,nM,IC50,CCC1CCC(Cn2c(N3CCOC4CCCC43)nc3cc(-c4nnc(O)o4)nc(-c4cncc(Cl)c4)c32)CC1,7.6020599913279625
CHEMBL3675212,5190.0,nM,IC50,O=C1c2cc(F)ccc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,5.284832642151542
CHEMBL3675198,2300.0,nM,IC50,N#Cc1ccc(CN2C(=O)c3ccccc3C2(OC2C=CC(O)C2)c2ccc(Cl)cc2)cc1,5.638272163982407
CHEMBL3955477,201.0,nM,IC50,CC1(C)NC(C(=O)NC2CCC(O)CC2)C(c2cccc(Cl)c2F)C12C(=O)Nc1cc(Cl)ccc12,6.696803942579511
CHEMBL4215007,36500.0,nM,IC50,CC(C)CC(NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(NC(=O)C(N)CC(=O)O)C(C)O)C(C)C)C(=O)NC(CC(N)=O)C(=O)NCC(=O)NCC(=O)NCC(=O)NC(CO)C(=O)NC(Cc1ccc(Br)cc1)C(=O)NC(CCCNC(=N)N)C(N)=O,4.437707135543525
CHEMBL3704487,1000.0,nM,IC50,CC(C)(C)CC1NC(C(=O)NCCC(O)CN2CCC(O)C2)C(c2cccc(Cl)c2)C12C(=O)Nc1cc(Cl)c(F)cc12,6.0
CHEMBL3693983,100.0,nM,IC50,CC(=O)N1CC(NC(=O)C2NC3(CCCCC3)C3(C(=O)Nc4cc(Cl)ccc43)C2c2cccc(Cl)c2F)C1,7.0
CHEMBL3703325,10.1,nM,IC50,COc1cc(C(=O)OC(C)OC(=O)N2CCOCC2)ccc1NC(=O)C1NC(CC(C)(C)C)C(C#N)(c2ccc(Cl)cc2F)C1c1cccc(Cl)c1F,7.995678626217358
